x,y
0,0
-0.123,-0.3525
-0.287,-0.7784
-0.424,-1.2042
-0.547,-1.6123
-0.547,-1.7791
-0.52,-2.0015
-0.629,-2.4096
-0.7521,-2.8166
-0.848,-3.2247
-0.9021,-3.4837
-1.2171,-4.6335
-1.2441,-5.4486
-1.3122,-6.0412
-1.3942,-6.5416
-1.4221,-7.042
-1.2852,-7.469
-1.3401,-7.7647
-1.4352,-8.0427
-1.5041,-8.2473
-1.6132,-8.4697
-1.6813,-8.6732
-1.7912,-8.9701
-1.4631,-8.8956
-1.2302,-9.1547
-1.2171,-9.1547
-1.3532,-9.4149
-1.3672,-9.5261
-1.3811,-9.6373
-1.3942,-9.6184
-1.4221,-9.7663
-1.4221,-9.7663
-1.4221,-9.8597
-1.5041,-10.082
-1.1072,-10.2488
-0.547,-10.6558
-0.096,-10.8226
0.205,-11.0083
0.5602,-10.9527
0.5191,-11.1384
0.5331,-11.3052
0.5462,-11.4342
0.5462,-11.4164
0.3281,-11.2863
0.2731,-11.5276
0.3002,-11.8234
0,-12.0646
-0.3559,-12.4538
-0.506,-12.6017
-0.506,-12.7129
-0.1099,-12.9175
0.5741,-13.1577
0.4101,-13.0843
0.2731,-13.1766
0.205,-13.2322
0.1361,-13.2689
0.164,-13.2878
0.0951,-13.2878
-0.0549,-13.2322
-0.0549,-13.2689
-0.0549,-13.3067
-0.041,-13.3245
-0.0279,-13.3623
0,-13.4179
0.041,-13.4357
0.205,-12.4727
0.4511,-11.3786
0.6832,-10.5079
1.0252,-9.9519
1.3393,-9.8218
1.1613,-10.0075
1.1072,-10.1743
0.9292,-10.1376
0.7381,-10.2666
0.6151,-10.4523
0.3961,-10.5824
0.0951,-11.601
-0.246,-12.5839
-0.7381,-13.3067
-1.0662,-13.7326
-1.2991,-14.0295
-1.3122,-14.363
-1.2171,-14.77
-1.2441,-15.048
-1.5041,-15.2526
-1.5861,-15.4194
-1.7633,-15.5862
-1.8182,-15.6596
-1.8732,-15.7708
-1.9413,-15.7897
-2.0233,-15.7341
-2.0503,-15.6974
-2.0782,-14.919
-7.2172,-11.2863
-11.1817,-8.5987
-14.6263,-6.5605
-17.5377,-4.7814
-19.9161,-3.5582
-21.7204,-3.0946
-22.6636,-2.9467
-23.5928,-2.5575
-23.9069,-1.6868
-24.536,-1.1675
-25.165,-0.6861
-26.6412,0.1857
-27.8165,0.6116
-28.6637,0.4081
-29.6208,0.2224
-30.7009,0.0367
-31.562,-0.1301
-31.9582,-0.2591
-32.4913,-0.3892
-33.2564,-0.5927
-33.5714,-0.9263
-34.0905,-1.093
-34.8696,-1.0753
-36.0449,-0.8151
-36.988,-0.9641
-37.33,-0.7417
-37.6991,-0.4259
-37.9451,0.4081
-38.6972,0.9452
-39.3943,2.076
-40.0225,3.0946
-40.5556,3.9285
-40.9936,4.5779
-41.2257,4.9482
-41.1986,5.115
-41.1166,5.2073
-40.8837,5.0961
-40.5146,4.8003
-39.9135,4.5779
-39.7494,4.8181
-39.7634,5.2818
-40.5015,5.6709
-40.8156,6.8941
-41.8957,7.5613
-43.0849,7.9137
-44.3971,7.8581
-45.6954,7.8025
-47.1167,8.2095
-47.8548,9.3037
-48.4429,8.9323
-49.605,8.4697
-50.0561,8.284
-51.7373,8.284
-52.8306,7.9137
-53.8147,7.2466
-55.0179,6.6906
-55.4279,6.5416
-56.1931,6.2458
-57.1773,6.3937
-58.1885,6.208
-58.5576,6.0045
-59.4466,5.5964
-60.3209,4.7447
-61.182,3.8173
-62.2892,3.0212
-63.2602,2.2606
-63.9295,1.6868
-64.8045,0.9085
-65.5287,0.6483
-66.2258,0.3525
-66.8688,0.0556
-67.1419,0.2969
-67.2649,0.9819
-67.333,1.8158
-67.511,1.927
-67.7841,2.4652
-68.0711,3.0946
-68.1671,3.1502
-67.757,3.6505
-67.388,3.9285
-67.538,4.1887
-67.675,4.3733
-67.8251,4.5034
-68.0301,4.559
-68.0441,4.3555
-68.0031,4.003
-67.771,2.9467
-67.716,2.5575
-67.771,2.0204
-67.716,1.3899
-67.757,-0.1479
-67.839,-1.798
-68.099,-3.039
-68.3172,-3.7617
-68.7551,-3.6138
-69.3013,-4.1509
-69.9984,-3.9841
-70.9145,-4.5957
-71.4886,-5.7265
-71.8577,-6.5972
-72.0627,-7.0242
-72.2267,-6.4126
-72.4867,-6.3014
-72.3768,-6.5972
-72.4457,-7.0609
-72.1447,-7.3389
-71.8306,-7.8025
-71.5977,-8.5253
-71.4476,-9.0624
-71.3656,-9.5072
-71.3107,-10.0998
-71.3927,-10.5635
-71.4747,-11.7867
-71.4886,-12.2681
-71.4066,-13.3434
-71.3656,-13.7515
-71.6387,-13.5658
-72.0217,-13.3434
-72.2948,-13.4546
-72.6508,-14.6966
-73.1428,-15.3449
-73.607,-14.1585
-73.58,-13.9917
-73.58,-13.8249
-73.703,-13.4735
-73.785,-14.4553
-74.031,-15.1225
-75.0833,-15.8453
-75.9854,-15.5862
-76.5325,-16.6047
-77.8857,-16.4202
-80.1,-16.7537
-82.7245,-18.2916
-84.7067,-19.2556
-85.3218,-18.7919
-86.1141,-19.478
-86.7981,-20.0518
-87.3722,-20.5344
-87.7954,-20.9969
-88.1373,-21.405
-88.3563,-21.8865
-88.0553,-22.239
-87.8093,-22.5359
-87.4952,-22.9062
-86.9892,-23.3876
-86.593,-23.9814
-86.128,-25.4447
-85.6359,-25.9829
-85.417,-26.4088
-85.1578,-26.8536
-84.8839,-27.1683
-85.1849,-27.5763
-85.4719,-27.9288
-86.2781,-28.4848
-86.7431,-29.2632
-87.2352,-30.3929
-87.9184,-31.9685
-88.2743,-32.4878
-88.4925,-32.3577
-88.7254,-32.321
-88.7935,-32.4878
-88.9165,-32.8214
-89.2035,-33.2284
-89.5996,-33.4141
-89.8186,-33.6365
-89.1896,-34.5816
-88.6294,-34.4148
-87.6863,-35.5635
-87.2623,-35.3044
-86.9752,-34.6561
-85.786,-34.0256
-84.3647,-33.8033
-82.9844,-33.3952
-81.5902,-32.9882
-80.237,-32.45
-78.8698,-31.9129
-77.5027,-31.357
-76.1494,-30.7454
-74.031,-29.5223
-72.0217,-28.4103
-69.3833,-27.6875
-66.0618,-27.4651
-62.4261,-26.9648
-59.0086,-25.7049
-56.4392,-24.8154
-54.4708,-23.7768
-52.7625,-22.9618
-51.3273,-22.0166
-49.8781,-21.0903
-48.4158,-20.2008
-47.0216,-19.2923
-45.5995,-18.4217
-44.2741,-17.8101
-42.6338,-16.9761
-41.2938,-16.2712
-39.6814,-15.3449
-38.0821,-14.4742
-36.3319,-13.7515
-34.6507,-13.121
-32.5183,-12.4727
-30.5779,-11.9535
-28.5275,-10.8782
-26.9283,-10.1932
-24.2079,-9.4149
-22.5127,-8.6921
-20.6403,-7.8948
-19.2732,-6.8196
-17.0457,-4.2621
-14.9674,-2.8166
-12.9311,-2.1316
-11.0037,-1.3899
-8.8304,-0.5004
-7.4911,0.3147
-6.835,0.4815
-6.0009,0.6483
-5.5359,1.0197
-5.3309,1.7235
-5.1668,1.7046
-5.2218,1.7791
-5.2628,1.8714
-5.2079,1.8158
-5.1668,1.8536
-5.0168,1.8903
-4.9208,2.0204
-4.8388,2.1127
-4.7158,2.3351
-4.6887,2.5575
-4.6067,2.7799
-4.5517,3.0212
-4.5107,3.2057
-4.4427,3.2247
-4.2647,3.9285
-4.1556,4.6513
-4.1417,5.3563
-4.1146,5.8933
-4.0875,5.93
-4.0597,5.9489
-4.0597,5.93
-4.0465,5.9122
-4.0326,5.8933
-4.0326,5.9122
-4.0465,5.9122
-4.0597,5.8933
-4.0875,5.8933
-4.1286,5.8566
-4.1696,5.8377
-4.2237,5.8188
-4.2786,5.7454
-4.3196,5.7265
-4.3336,5.6898
-4.3746,5.6709
-4.4017,5.6342
-4.4156,5.5786
-4.4287,5.5231
-4.4427,5.4852
-4.4837,5.4119
-4.4697,5.3563
-4.4837,5.3185
-4.4837,5.2629
-4.4976,5.2073
-4.4976,5.115
-4.5107,5.0783
-4.5928,6.1524
-4.6477,6.0601
-4.5657,6.1713
-4.5517,6.208
-4.5796,6.0234
-4.5928,5.9856
-4.5928,5.93
-4.6067,5.8933
-4.6067,5.8377
-4.5928,5.7821
-4.5928,5.7076
-4.5796,5.6709
-4.5928,5.6342
-4.5928,5.5964
-4.6067,5.5408
-4.1556,4.5223
-3.5676,3.447
-3.1034,2.6131
-2.8573,2.1316
-2.7753,1.5567
-2.5834,1.1309
-2.5703,1.1119
-2.5974,1.1309
-2.6113,1.1119
-2.6113,1.1119
-2.6384,1.1486
-2.6654,1.1675
-2.6794,1.1864
-3.3084,1.9648
-3.3494,2.0204
-3.3625,2.076
-3.3765,2.1683
-3.3765,2.2984
-2.9115,1.927
-2.1463,1.4822
-1.6813,1.4822
-1.7362,1.6312
-1.0801,1.7046
-1.0941,1.7791
-1.1351,1.8158
-1.2171,1.8536
-0.0139,1.1864
0.9842,1.1675
1.2023,1.2042
0.9432,1.1486
0.8333,1.1675
0.6692,1.1864
0.5872,1.2787
0.5462,1.2976
0.5331,1.2787
0.5052,1.2231
0.5191,1.1675
0.4921,1.1309
0.5191,1.0753
0.5191,1.0008
0.5331,0.9263
0.4921,0.9085
0.4642,0.8896
-0.0549,0.834
-0.5741,0.7973
-1.0391,0.834
-1.6682,1.093
-2.2144,1.7424
-2.1192,3.0768
-0.766,4.0219
1.3803,3.9474
3.1575,2.9467
3.2666,0.9641
1.3532,0.1857
-0.506,1.4644
-1.5583,2.1316
-1.8863,2.761
-1.7772,2.91
-1.2031,2.9656
-0.3691,3.0946
0.6012,3.2436
2.1045,3.3914
3.2116,3.447
2.7606,3.2803
1.8314,3.1135
1.0112,2.9656
0.3002,2.8544
0.1501,2.9467
0.0271,3.0023
-0.137,3.0579
-0.7381,4.3177
-0.5331,5.801
0.3141,7.0053
1.0252,7.4134
1.7633,6.8018
2.7745,5.6898
2.8836,4.2621
2.3915,2.6687
1.6673,1.2976
0.7791,0.9819
0.6692,0.9641
0.5872,0.9452
0.4511,0.9085
0.3141,0.834
0.1911,0.7228
0.0681,0.6861
-0.041,0.6305
-0.137,0.5749
-0.2329,0.5193
-0.3149,0.4448
-0.3969,0.4637
-0.465,0.4448
-0.5331,0.4081
-0.6151,0.3703
-0.7111,0.3147
-0.807,0.2591
-1.7362,0.8151
-2.7474,1.371
-3.5266,1.8347
-4.0597,2.4463
-4.4837,3.2436
-4.9487,4.003
-5.3448,4.3555
-5.7139,4.8559
-5.946,5.4852
-6.4381,6.635
-6.876,7.6724
-7.2172,8.5809
-7.5862,9.5439
-7.6961,10.4334
-7.8733,11.2863
-8.1062,12.1947
-8.3933,13.1955
-8.6114,14.2519
-8.6803,14.9924
-8.5163,15.5484
-8.2563,16.3457
-8.0783,17.4209
-8.1743,19.0143
-8.3244,20.441
-8.3793,21.6085
-8.2292,22.5915
-8.0652,23.7768
-7.8462,25.0745
-7.9143,26.3899
-7.9553,27.613
-7.9832,28.9296
-7.8733,30.3373
-7.7371,31.8384
-7.7232,33.3029
-7.8462,34.6928
-7.9832,35.9527
-8.3654,37.1758
-8.8304,38.3622
-9.2675,39.3074
-9.8285,40.1047
-10.4977,41.012
-11.1538,42.1062
-12.015,42.7355
-13.3682,42.6244
-15.0773,42.6799
-16.6897,42.9401
-18.1799,42.9212
-19.6291,42.7544
-21.1734,42.6244
-22.6767,42.3286
-24.1669,41.9761
-25.6702,41.846
-27.0374,41.6614
-28.1585,41.6792
-29.6889,41.7537
-31.5481,41.9761
-33.0383,42.1618
-34.4325,42.1985
-35.7037,42.2174
-36.988,41.7348
-37.9312,41.1232
-38.7513,40.4005
-39.7084,39.8078
-40.5556,39.5298
-41.5537,39.5665
-42.5789,39.5665
-43.6041,39.7889
-44.7252,40.3638
-45.7094,40.8641
-46.5295,41.439
-47.4587,41.8093
-48.6069,41.5869
-49.728,40.8452
-50.4382,39.7522
-50.9172,38.5846
-51.5044,37.4171
-52.1195,36.3051
-52.5706,35.0631
-52.8986,33.8778
-53.0627,32.8214
-53.0766,31.7272
-53.0766,30.5975
-53.1176,29.6145
-53.0906,28.7628
-52.8986,27.8176
-52.7215,26.5756
-52.5575,25.3524
-52.5165,24.4262
-52.7076,23.6289
-53.1726,22.7205
-53.5958,21.7019
-53.9378,20.7012
-54.2248,20.0896
-54.4569,19.6448
-54.5668,18.9587
-54.5389,18.1993
-54.4159,17.3464
-54.4028,16.3268
-54.4848,15.2526
-54.5529,14.1963
-54.4298,13.3245
-53.8147,12.4171
-53.2136,11.8056
-52.8035,11.6944
-52.3934,11.194
-52.1605,9.9886
-52.1605,8.562
-52.0514,7.1532
-51.6143,5.7454
-50.8623,4.7814
-49.81,4.3733
-48.634,3.7061
-47.3767,3.447
-45.9144,3.4659
-44.3971,3.5771
-42.948,3.7806
-41.5398,3.9285
-40.4326,4.2443
-39.3664,4.5223
-37.9312,4.8003
-36.414,4.9115
-35.0476,4.8181
-33.2023,4.7447
-31.1651,4.8737
-29.4978,5.0038
-28.1175,5.0961
-26.6273,5.1895
-25.1781,5.0227
-23.8528,4.8003
-22.6086,4.4667
-21.3645,4.0397
-20.1343,3.9285
-19.178,4.0397
-18.3579,4.2065
-17.3868,4.2443
-16.0205,4.1887
-14.7493,4.3177
-13.3682,4.281
-11.9198,4.1509
-10.6207,4.0219
-9.3774,3.8918
-8.1603,3.7439
-6.8621,3.8173
-5.3038,4.0219
-3.8956,4.1331
-2.8163,4.2443
-1.9552,4.4478
-1.2712,4.4289
-0.766,4.1331
-0.246,3.8173
0.2592,3.5582
0.7652,3.3548
1.1613,3.2803
1.1613,3.188
1.1753,3.1324
1.2163,3.0946
1.7904,2.5575
2.4194,2.076
2.4604,2.0015
2.5145,1.9092
2.5834,1.8714
2.6376,1.798
2.6786,1.7602
2.7335,1.7235
2.7745,1.6679
2.8016,1.6312
2.8295,1.5934
2.8705,1.5567
3.3625,1.093
3.9366,0.5004
4.4287,-0.0189
5.0299,-0.2035
5.645,-0.3525
6.2461,-0.5193
6.8202,-1.0008
6.8752,-1.0374
6.9162,-1.0374
6.9843,-1.0564
7.1212,-2.4652
7.4353,-3.7439
7.9004,-4.2254
8.4744,-4.0397
9.0346,-3.5582
9.5136,-2.91
10.2377,-2.205
11.0849,-1.8714
11.659,-1.7424
11.878,-1.4088
11.6049,-0.7228
11.3039,-0.0923
11.2219,0.2413
10.9078,0.3336
10.1967,0.5004
8.8985,0.9085
7.1352,1.2976
5.2349,1.6868
3.1296,1.9648
0.7652,2.1127
-2.0233,2.2984
-4.8388,2.4096
-7.5321,2.1127
-10.2386,1.8714
-12.89,1.5378
-15.3915,1.3154
-17.7838,1.0008
-20.2442,0.9452
-22.9096,1.0374
-25.5751,1.2787
-28.0625,1.52
-30.3728,1.6679
-32.4773,2.0571
-34.5006,2.2795
-36.5509,1.8903
-38.7653,1.1864
-40.8837,0.6305
-43.0439,0.4081
-45.0803,0.1668
-46.9937,-0.2035
-49.1129,-0.0556
-51.0263,0.7039
-52.5435,1.798
-53.7737,3.3169
-54.5119,4.7625
-54.7579,5.9678
-54.6349,7.9137
-54.3068,10.3778
-54.0058,12.5461
-53.6097,14.0106
-53.0085,15.4372
-52.4476,17.124
-52.0244,18.8842
-51.6414,20.4232
-51.5594,22.0533
-51.8874,23.61
-52.5435,25
-53.0766,26.6679
-53.2817,28.4848
-53.4186,30.3929
-53.5006,32.4133
-53.2956,34.7673
-52.5985,36.4719
-51.3683,37.5094
-49.933,38.3433
-48.1968,38.6958
-46.2966,38.3812
-44.4381,37.7874
-42.5379,37.3248
-40.8706,36.8611
-39.4624,36.5086
-38.1641,35.8793
-37.1931,35.3967
-36.838,35.3411
-36.879,35.4523
-36.92,35.5824
-36.9749,35.638
-36.9339,35.7125
-36.1138,35.0453
-35.2248,34.5449
-34.5145,34.3959
-34.0085,34.3403
-33.6124,34.3959
-33.1744,34.3781
-33.1334,34.4704
-33.0924,34.5449
-33.1203,34.6183
-33.1064,34.6372
-33.1064,34.6561
-33.1203,34.6928
-32.8874,34.8229
-32.3543,34.7117
-31.8212,34.6561
-31.48,34.804
-31.029,35.0631
-30.3999,35.2299
-29.7438,35.5268
-29.7167,35.5824
-29.6478,35.6569
-29.6347,35.7303
-29.6208,35.7859
-29.5798,35.8793
-29.4978,35.9716
-29.3887,36.0639
-29.3337,36.0828
-29.3477,36.3607
-29.3198,36.88
-29.2517,37.4727
-28.9376,38.0287
-28.5136,38.5846
-28.1995,39.1217
-27.8575,39.3263
-27.5844,39.2329
-27.5155,39.2707
-27.4884,39.3441
-27.4745,39.3997
-27.4474,39.4553
-27.4335,39.5109
-26.9283,39.9935
-26.2033,40.1603
-25.452,40.2715
-24.919,40.5116
-24.905,40.3082
-24.8501,40.197
-24.782,40.0491
-24.5089,39.9379
-24.399,39.8634
-24.2899,39.7522
-24.1669,39.6966
-23.9889,39.6221
-23.3738,39.5854
-22.3355,39.2707
-21.2554,38.8626
-20.7904,38.9371
-20.7773,39.3074
-20.9003,39.7333
-20.8724,39.6966
-20.8043,39.6777
-20.7084,39.6043
-20.6132,39.6221
-20.6953,39.1217
-20.5993,39.1406
-20.5034,39.1406
-20.4082,39.1406
-20.2442,39.8634
-19.8202,40.9564
-19.4241,42.0684
-19.5602,42.8845
-19.7652,43.0691
-20.1892,42.9401
-20.3123,42.5321
-20.1072,42.0506
-19.8883,42.124
-19.7242,42.1796
-19.5602,42.124
-19.9432,41.6236
-20.7363,41.1977
-21.9255,41.0498
-23.1967,41.4012
-24.3039,41.7726
-25.247,41.9572
-26.0942,41.846
-26.9553,41.9394
-27.8165,41.995
-28.5407,41.9572
-29.5388,42.124
-30.837,42.3842
-32.0131,42.6433
-33.2564,42.6989
-34.5965,42.6989
-35.8809,42.6433
-37.0979,42.4576
-38.1231,42.1796
-39.0253,41.7904
-39.9815,41.5502
-41.1166,41.7726
-42.1549,41.7904
-43.098,41.8093
-44.2872,41.8649
-45.5584,41.9572
-46.7616,42.1985
-48.0057,42.273
-49.2901,42.3464
-50.5481,42.2908
-51.7373,42.2174
-52.7896,42.2541
-53.9927,42.3464
-55.0859,42.3097
-55.127,42.273
-55.168,42.2908
-55.2229,42.2352
-55.277,42.2352
-55.318,42.2541
-55.359,42.2541
-55.3869,42.273
-55.4411,42.273
-55.4821,42.2908
-55.51,42.2908
-55.537,42.3097
-55.537,42.3653
-55.578,42.402
-55.619,42.3842
-55.6461,42.402
-55.6871,42.4398
-55.701,42.4765
-55.715,42.551
-55.756,42.6066
-55.7831,42.6622
-55.8241,42.7178
-57.0403,43.6073
-58.1754,44.3301
-59.1456,44.756
-59.7607,44.8672
-59.9387,44.7749
-59.7747,44.478
-59.3777,43.9409
-58.9545,43.1247
-58.4214,41.9016
-57.9154,40.4561
-57.4783,38.8437
-56.8902,37.2136
-56.3161,35.638
-56.0562,34.3959
-55.7421,33.155
-55.359,31.6161
-55.127,30.1338
-55.127,29.0219
-55.168,27.8732
-55.0999,26.8347
-55.127,25.8717
-55.0999,24.722
-55.072,23.332
-55.0449,21.7753
-55.0859,20.163